,num_communique,date_communique,nbre_test,nbre_gueris,nbre_positifs,nbre_cas_contact,nbre_cas_communautaire,nbre_cas_importes,nbre_deces,nbre_cas_graves,nbre_vaccines
250,161.0,09-None-2020,1656.0,23.0,172.0,89.0,113.0,,3.0,,
251,,20-4-2020,281.0,15.0,10.0,5.0,5.0,,0.0,,
252,392.0,28-3-2021,1850.0,,64.0,27.0,37.0,0.0,,,
253,78.0,18-5-2020,1172.0,103.0,64.0,59.0,5.0,,,11.0,
254,230.0,17-10-2020,982.0,52.0,24.0,11.0,10.0,3.0,0.0,,
255,298.0,24-12-2020,2160.0,85.0,157.0,54.0,101.0,,3.0,,
256,,,,,,,,,,,
257,202.0,19-9-2020,1334.0,102.0,43.0,15.0,26.0,,1.0,,
258,221.0,8-10-2020,987.0,70.0,16.0,3.0,11.0,2.0,0.0,,
259,375.0,11-3-2021,1948.0,,176.0,67.0,109.0,0.0,,,
260,323.0,18-1-2021,1888.0,190.0,196.0,86.0,110.0,0.0,11.0,,
261,54.0,24-4-2020,528.0,5.0,66.0,61.0,5.0,,,1.0,
262,370.0,06-3-2021,1856.0,,164.0,63.0,100.0,,,,
263,149.0,28-7-2020,824.0,114.0,41.0,33.0,8.0,,4.0,,
264,227.0,14-10-2020,1293.0,63.0,24.0,1.0,17.0,6.0,1.0,,
265,353.0,17-2-2021,2192.0,230.0,295.0,95.0,200.0,0.0,9.0,,
266,91.0,31-5-2020,1024.0,40.0,110.0,98.0,,,,14.0,
267,52.0,22-4-2020,482.0,11.0,30.0,26.0,4.0,,0.0,,
268,,27-3-2020,144.0,2.0,14.0,2.0,1.0,,,,
269,,19-4-2020,313.0,9.0,17.0,15.0,2.0,,,,
270,17.0,18-3-2020,27.0,,5.0,2.0,,,,,
271,426.0,1°-5-2021,1552.0,,44.0,9.0,35.0,0.0,,,
272,169.0,17-None-2020,1049.0,51.0,75.0,37.0,38.0,,3.0,,
273,296.0,22-12-2020,953.0,30.0,66.0,22.0,44.0,0.0,1.0,,
274,241.0,28-10-2020,721.0,128.0,11.0,3.0,7.0,1.0,0.0,,
275,368.0,04-3-2021,2070.0,,210.0,72.0,138.0,0.0,,,
